CIK list from SEC website. ALL 
,0
0,1249759
1,95366
2,1193458
3,1000142
4,726608
5,1161852
6,1125725
7,1220065
8,1210341
9,1180006
10,1257146
11,1167472
12,918228
13,1246330
14,1184347
15,1040599
16,919556
17,1191316
18,1189566
19,1300763
20,1297581
21,1037852
22,1214720
23,1195739
24,42293
25,1303761
26,1056238
27,921549
28,1088717
29,1265871
30,352430
31,1106646
32,1297274
33,1260623
34,1291772
35,1301318
36,1091967
37,940510
38,1293933
39,1211164
40,790071
41,1301775
42,1190963
43,1276036
44,1230250
45,1246376
46,1276673
47,924754
48,791138
49,1101396
50,1063344
51,1000753
52,1192654
53,1096400
54,1184060
55,319261
56,1303749
57,1049531
58,1059354
59,105839
60,1203080
61,1046206
62,762859
63,1182292
64,1227146
65,1301209
66,1185807
67,1192701
68,1236599
69,1263547
70,1220929
71,1008262
72,1201398
73,1237252
74,789282
75,100122
76,1239583
77,1219815
78,1285163
79,1207142
80,1303857
81,1201678
82,1001606
83,946535
84,1282864
85,1275018
86,1038727
87,785186
88,854701
89,1132218
90,1297313
91,1239550
92,1071992
93,1204921
94,1302607
95,1025378
96,1092340
97,1166853
98,1287066
99,1229388
100,1301220
101,1242472
102,1204394
103,710752
104,1196779
105,1112888
106,1182828
107,1217950
108,1087845
109,1205011
110,1195919
111,1294684
112,1161607
113,1292026
114,1234369
115,1223655
116,1128329
117,1174562
118,935699
119,1201352
120,1186795
121,1189971
122,1282996
123,1180366
124,1261771
125,1301807
126,1069538
127,1206797
128,1120709
129,1048151
130,1303358
131,878228
132,1187512
133,1227538
134,1182370
135,1053169
136,1283364
137,63414
138,1172146
139,798320
140,1082441
141,905247
142,936193
143,1144839
144,814586
145,1303029
146,1205649
147,1299358
148,1025421
149,1289703
150,888955
151,1216114
152,1195648
153,1272044
154,1259384
155,1213915
156,1125237
157,1259513
158,1185263
159,1190690
160,771176
161,1136893
162,1072787
163,1268761
164,748691
165,1285772
166,1230609
167,1056758
168,922318
169,1081714
170,1282945
171,750679
172,1211464
173,1262492
174,1140869
175,1290316
176,1269797
177,1302267
178,1229823
179,1057969
180,1075318
181,1287030
182,1140223
183,1254444
184,1090121
185,1298799
186,1275606
187,1068132
188,1298881
189,1199598
190,1078135
191,1088193
192,1186017
193,1184985
194,1057120
195,354963
196,715095
197,1027162
198,1301865
199,1237262
200,1297443
201,277928
202,1076939
203,757928
204,1156896
205,1207232
206,1108323
207,1251948
208,1267771
209,1299224
210,1294627
211,748212
212,862255
213,796227
214,1238334
215,1097149
216,1238806
217,1207818
218,1274940
219,892290
220,1061272
221,1243904
222,1203375
223,1058470
224,1222376
225,1230222
226,1285950
227,1187789
228,1289437
229,1082822
230,1056859
231,1291734
232,1198474
233,1175993
234,1294048
235,1173486
236,932785
237,1213105
238,1288858
239,1283010
240,1236444
241,1184939
242,1272957
243,1157040
244,932145
245,771726
246,1208719
247,740843
248,1302294
249,855931
250,1180727
251,1165994
252,1206974
253,1299065
254,1288880
255,1213296
256,890634
257,1296710
258,1267413
259,775662
260,1300646
261,1238678
262,1302476
263,1297105
264,898483
265,1218739
266,1029850
267,1186062
268,1279818
269,1204964
270,95304
271,31013
272,1289164
273,1298487
274,1194620
275,1220211
276,810893
277,1279040
278,1056281
279,1302041
280,106830
281,1096334
282,856343
283,799097
284,1087610
285,720875
286,1220794
287,1297223
288,939749
289,1245786
290,1003839
291,1260098
292,897996
293,1226408
294,1107197
295,1297322
296,908406
297,733598
298,818813
299,1300309
300,1053871
301,1185252
302,936949
303,109899
304,1303821
305,1302262
306,1182047
307,1237070
308,1060224
309,1043900
310,1087637
311,1304465
312,1227733
313,1244667
314,891035
315,1230831
316,1216494
317,1026493
318,1293855
319,104777
320,1184179
321,205921
322,1301463
323,1019046
324,736952
325,1298241
326,1297602
327,1270966
328,1250957
329,1000401
330,1178819
331,1244663
332,1297817
333,51931
334,1267958
335,1099665
336,1028669
337,793631
338,919599
339,1133521
340,1301111
341,276667
342,933691
343,1247024
344,1102741
345,1301329
346,1281801
347,843803
348,706211
349,861966
350,1248533
351,1248000
352,1219641
353,924210
354,1018390
355,48105
356,1069489
357,814217
358,1210286
359,1286399
360,1260605
361,1296309
362,1084780
363,1040077
364,109198
365,1238820
366,717423
367,917968
368,1210409
369,40461
370,1208067
371,1216164
372,72205
373,1228533
374,1000514
375,1245768
376,1252200
377,1288085
378,1300354
379,1199546
380,1219339
381,1188932
382,835663
383,1245089
384,1287816
385,1195834
386,1202318
387,919722
388,1208788
389,315665
390,1222857
391,1264876
392,914775
393,1229668
394,1303428
395,1163230
396,851644
397,925956
398,1187507
399,1302422
400,1297406
401,1096935
402,1189786
403,869759
404,51939
405,60876
406,1001462
407,1297511
408,1180369
409,854222
410,49702
411,1000383
412,1299428
413,1129542
414,1246656
415,822665
416,1179726
417,1080265
418,1205627
419,1219315
420,1237114
421,1300237
422,1087694
423,1291119
424,1170037
425,354383
426,1232946
427,1283389
428,1221207
429,832421
430,1184017
431,1295602
432,1216987
433,1088323
434,1170895
435,1191194
436,1067128
437,890519
438,1300549
439,1263826
440,1057923
441,1191705
442,1015327
443,1180707
444,1217021
445,1191482
446,1087760
447,1269319
448,1184192
449,1297978
450,908551
451,1180000
452,1231642
453,1231126
454,814052
455,1211391
456,1259662
457,1102406
458,1224157
459,1138602
460,1190993
461,1296375
462,1033864
463,1180762
464,1288541
465,921739
466,1250108
467,1225532
468,754673
469,1293606
470,1192875
471,1247230
472,1302915
473,1000436
474,1264481
475,787401
476,1179113
477,1185922
478,1218179
479,1222141
480,1103285
481,1301741
482,1025856
483,1160337
484,1229877
485,1113232
486,1268714
487,912465
488,104865
489,65109
490,1279311
491,1167369
492,1182330
493,842013
494,823342
495,1297598
496,1299876
497,1298898
498,1270342
499,1299016
500,884144
501,1289835
502,1297128
503,928658
504,1301383
505,71675
506,1291992
507,1279507
508,1221658
509,1300218
510,935497
511,824169
512,1199914
513,1034273
514,1251337
515,1172577
516,1187685
517,1278139
518,1302610
519,1189919
520,702162
521,880059
522,1264388
523,1104447
524,1211894
525,1167043
526,1027190
527,1020681
528,1242237
529,911745
530,1164469
531,1015922
532,1193940
533,1143607
534,1280123
535,1199965
536,847777
537,1201140
538,1280105
539,1094148
540,1263745
541,1166385
542,1275135
543,1207858
544,896931
545,929634
546,1261978
547,78128
548,1012814
549,829937
550,1190932
551,1068208
552,908186
553,1277554
554,1300285
555,1096938
556,1192502
557,1182708
558,750756
559,1279100
560,1297707
561,1232080
562,1237858
563,1303426
564,1302386
565,1219095
566,1062613
567,1271164
568,1287541
569,1298676
570,1048638
571,1275099
572,1183246
573,1205178
574,14798
575,1110304
576,1248226
577,1284810
578,1204589
579,1295762
580,1297083
581,1300001
582,1250189
583,1192907
584,1115818
585,1299743
586,898586
587,1216568
588,715153
589,1304216
590,1234477
591,1198653
592,857853
593,1173991
594,1113858
595,1116894
596,1228938
597,1283529
598,1109507
599,1296075
600,1179594
601,1300721
602,1254998
603,1216141
604,1126983
605,916320
606,1232792
607,1297863
608,1186770
609,1220974
610,1186459
611,1271389
612,1065266
613,1232523
614,1144286
615,898409
616,357110
617,1246679
618,1191693
619,1188639
620,1020905
621,1199210
622,1286865
623,1271012
624,1179808
625,1130166
626,897078
627,912906
628,1248305
629,1277447
630,1222853
631,793981
632,1294530
633,1206447
634,1275071
635,1083753
636,854268
637,45876
638,913072
639,1237989
640,1166280
641,1209894
642,1095442
643,1185628
644,1303397
645,799704
646,1079681
647,1274200
648,831609
649,1013606
650,1096182
651,1229628
652,1212544
653,1297660
654,37808
655,1106794
656,1302468
657,1061096
658,33619
659,831016
660,1037643
661,1269816
662,1263846
663,1018323
664,1297951
665,895649
666,827066
667,889232
668,1182458
669,313794
670,1298926
671,95029
672,1003792
673,900919
674,1223235
675,109563
676,1220796
677,745287
678,1034036
679,1070134
680,1210420
681,791049
682,1299790
683,818436
684,1189383
685,1256573
686,1221860
687,1231775
688,1234751
689,1248021
690,1230945
691,1020079
692,1088144
693,1229040
694,1265677
695,1270245
696,1242062
697,1167388
698,879826
699,1304203
700,1287641
701,1219947
702,1029473
703,99203
704,1101688
705,930438
706,1243519
707,1101478
708,1257788
709,1287577
710,1129015
711,922359
712,1126411
713,836157
714,1266525
715,1303301
716,1224173
717,1277364
718,798993
719,1081372
720,1007903
721,896103
722,1303222
723,1069183
724,872307
725,1262793
726,1213158
727,18169
728,1242639
729,1184452
730,1296802
731,1235096
732,1059213
733,1006918
734,1301317
735,1208771
736,1054377
737,1144686
738,1181078
739,1204465
740,916075
741,1248915
742,1031082
743,1181008
744,1200484
745,1077637
746,1274174
747,1185978
748,1141704
749,1197929
