,0
0,10X GENOMICS
1,1-800 FLOWERS COM
2,1LIFE HEALTHCARE
3,1ST CONSTITUTION BANCORP
4,1ST SOURCE CORP
5,2U INC
6,3D SYSTEMS CORP
7,3M CO
8,89BIO
9,8X8 INC NEW
10,A MARK PRECIOUS METALS
11,A10 NETWORKS INC
12,AAON INC
13,AAR CORP
14,AARONS INC
15,ABBOTT LABORATORIES
16,ABBVIE INC
17,ABEONA THERAPEUTICS INC
18,ABERCROMBIE & FITCH
19,ABIOMED INC
20,ABM INDUSTRIES INC
21,ACACIA COMMUNICATIONS
22,ACACIA RESEARCH CORP
23,ACADIA HEALTHCARE CO
24,ACADIA PHARMACEUTICALS
25,ACADIA REALTY TRUST
26,ACCEL ENTERTAINMENT (A)
27,ACCELERATE DIAGNOSTICS
28,ACCELERON PHARMA INC
29,ACCENTURE PLC IRELAND
30,ACCO BRANDS CORP
31,ACCURAY INC
32,ACELRX PHARMACEUTICALS
33,ACI WORLDWIDE INC
34,ACNB CORP
35,ACTIVISION BLIZZARD INC
36,ACUITY BRANDS INC
37,ACUSHNET HOLDINGS CORP
38,ADAMS RESOURCES & ENERGY
39,ADAPTHEALTH
40,ADAPTIVE BIOTECHNOLOGIES
41,ADDUS HOMECARE CORP
42,ADIENT PLC
43,ADMA BIOLOGICS INC
44,ADOBE INC
45,ADT INC
46,ADTALEM GLOBAL EDUCATION
47,ADTRAN INC
48,ALEXANDER & BALDWIN INC
49,ALEXANDERS INC
50,ALEXANDRIA REAL ESTATE
51,ALEXION PHARMACEUTICALS
52,ALICO INC
53,ALIGN TECHNOLOGY INC
54,ALKERMES PLC
55,ALLAKOS INC
56,ALLEGHANY CORP
57,ALLEGHENY TECHNOLOGIES
58,ALLEGIANCE BANCSHARES
59,ALLEGIANT TRAVEL CO
60,ALLEGION PLC
61,ALLETE INC
62,ALLIANCE DATA SYSTEMS
63,ALLIANT ENERGY CORP
64,ALLIED MOTION TECH
65,ALLISON TRANSMISSION
66,ALLOGENE THERAPEUTICS
67,ALLSCRIPTS HEALTHCARE
68,ALLSTATE CORP
69,ALLY FINL INC
70,ALNYLAM PHARMACEUTICALS
71,ALPHA & OMEGA SEMICON
72,ALPHA PRO TECH LTD
73,ALPHABET INC CL A
74,ALPHABET INC CL C
75,ALPHATEC HOLDINGS
76,ALPINE INCOME PROPERTY T
77,ALTA EQUIPMENT GROUP (A)
78,ALTAIR ENGINEERING INC
