,Symbol,CIK
0,MMM,66740
1,ABT,1800
2,ABBV,1551152
3,ABMD,815094
4,ACN,1467373
5,ATVI,718877
6,ADBE,796343
7,AMD,2488
8,AAP,1158449
9,AES,874761
10,AFL,4977
11,A,1090872
12,APD,2969
13,AKAM,1086222
14,ALK,766421
15,ALB,915913
16,ARE,1035443
17,ALXN,899866
18,ALGN,1097149
19,ALLE,1579241
20,LNT,352541
21,ALL,899051
22,GOOGL,1652044
23,GOOG,1652044
24,MO,764180
25,AMZN,1018724
26,AMCR,1748790
27,AEE,1002910
28,AAL,6201
29,AEP,4904
30,AXP,4962
31,AIG,5272
32,AMT,1053507
33,AWK,1410636
34,AMP,820027
35,ABC,1140859
36,AME,1037868
37,AMGN,318154
38,APH,820313
39,ADI,6281
40,ANSS,1013462
41,ANTM,1156039
42,AON,315293
43,AOS,91142
44,APA,6769
45,AIV,922864
46,AAPL,320193
47,AMAT,6951
48,APTV,1521332
49,ADM,7084
50,ANET,1596532
51,AJG,354190
52,AIZ,1267238
53,T,732717
54,ATO,731802
55,ADSK,769397
56,ADP,8670
57,AZO,866787
58,AVB,915912
59,AVY,8818
60,BKR,1701605
61,BLL,9389
62,BAC,70858
63,BK,1390777
64,BAX,10456
65,BDX,10795
66,BRK.B,1067983
67,BBY,764478
68,BIO,12208
69,BIIB,875045
70,BLK,1364742
71,BA,12927
72,BKNG,1075531
73,BWA,908255
74,BXP,1037540
75,BSX,885725
76,BMY,14272
77,AVGO,1730168
78,BR,1383312
79,BF.B,14693
80,CHRW,1043277
81,COG,858470
82,CDNS,813672
83,CPB,16732
84,COF,927628
85,CAH,721371
86,KMX,1170010
87,CCL,815097
88,CARR,1783180
89,CTLT,1596783
90,CAT,18230
91,CBOE,1374310
92,CBRE,1138118
93,CDW,1402057
94,CE,1306830
95,CNC,1071739
96,CNP,1130310
97,CERN,804753
98,CF,1324404
99,SCHW,316709
100,CHTR,1091667
101,CVX,93410
102,CMG,1058090
103,CB,896159
104,CHD,313927
105,CI,1739940
106,CINF,20286
107,CTAS,723254
108,CSCO,858877
109,C,831001
110,CFG,759944
111,CTXS,877890
112,CLX,21076
113,CME,1156375
114,CMS,811156
115,KO,21344
116,CTSH,1058290
117,CL,21665
118,CMCSA,1166691
119,CMA,28412
120,CAG,23217
121,CXO,1358071
122,COP,1163165
123,ED,1047862
124,STZ,16918
125,COO,711404
126,CPRT,900075
127,GLW,24741
128,CTVA,1755672
129,COST,909832
130,CCI,1051470
131,CSX,277948
132,CMI,26172
133,CVS,64803
134,DHI,882184
135,DHR,313616
136,DRI,940944
137,DVA,927066
138,DE,315189
139,DAL,27904
140,XRAY,818479
141,DVN,1090012
142,DXCM,1093557
143,FANG,1539838
144,DLR,1297996
145,DFS,1393612
146,DISCA,1437107
147,DISCK,1437107
148,DISH,1001082
149,DG,29534
150,DLTR,935703
151,D,715957
152,DPZ,1286681
153,DOV,29905
154,DOW,1751788
155,DTE,936340
156,DUK,1326160
157,DRE,783280
158,DD,1666700
159,DXC,1688568
160,EMN,915389
161,ETN,1551182
162,EBAY,1065088
163,ECL,31462
164,EIX,827052
165,EW,1099800
166,EA,712515
167,EMR,32604
168,ETR,65984
169,EOG,821189
170,EFX,33185
171,EQIX,1101239
172,EQR,906107
173,ESS,920522
174,EL,1001250
175,ETSY,1370637
176,EVRG,1711269
177,ES,72741
178,RE,1095073
179,EXC,1109357
180,EXPE,1324424
181,EXPD,746515
182,EXR,1289490
183,XOM,34088
184,FFIV,1048695
185,FB,1326801
186,FAST,815556
187,FRT,34903
188,FDX,1048911
189,FIS,1136893
190,FITB,35527
191,FE,1031296
192,FRC,1132979
193,FISV,798354
194,FLT,1175454
195,FLIR,354908
196,FLS,30625
197,FMC,37785
198,F,37996
199,FTNT,1262039
200,FTV,1659166
201,FBHS,1519751
202,FOXA,1754301
203,FOX,1754301
204,BEN,38777
205,FCX,831259
206,GPS,39911
207,GRMN,1121788
208,IT,749251
209,GD,40533
210,GE,40545
211,GIS,40704
212,GM,1467858
213,GPC,40987
214,GILD,882095
215,GL,320335
216,GPN,1123360
217,GS,886982
218,GWW,277135
219,HAL,45012
220,HBI,1359841
221,HIG,874766
222,HAS,46080
223,HCA,860730
224,PEAK,765880
225,HSIC,1000228
226,HSY,47111
227,HES,4447
228,HPE,1645590
229,HLT,1585689
230,HFC,48039
231,HOLX,859737
232,HD,354950
233,HON,773840
234,HRL,48465
235,HST,1070750
236,HWM,4281
237,HPQ,47217
238,HUM,49071
239,HBAN,49196
240,HII,1501585
241,IEX,832101
242,IDXX,874716
243,INFO,1598014
244,ITW,49826
245,ILMN,1110803
246,INCY,879169
247,IR,1699150
248,INTC,50863
249,ICE,1571949
250,IBM,51143
251,IP,51434
252,IPG,51644
253,IFF,51253
254,INTU,896878
255,ISRG,1035267
256,IVZ,914208
257,IPGP,1111928
258,IQV,1478242
259,IRM,1020569
260,JKHY,779152
261,J,52988
262,JBHT,728535
263,SJM,91419
264,JNJ,200406
265,JCI,833444
266,JPM,19617
267,JNPR,1043604
268,KSU,54480
269,K,55067
270,KEY,91576
271,KEYS,1601046
272,KMB,55785
273,KIM,879101
274,KMI,1506307
275,KLAC,319201
276,KHC,1637459
277,KR,56873
278,LB,701985
279,LHX,202058
280,LH,920148
281,LRCX,707549
282,LW,1679273
283,LVS,1300514
284,LEG,58492
285,LDOS,1336920
286,LEN,920760
287,LLY,59478
288,LNC,59558
289,LIN,1707925
290,LYV,1335258
291,LKQ,1065696
292,LMT,936468
293,L,60086
294,LOW,60667
295,LUMN,18926
296,LYB,1489393
297,MTB,36270
298,MRO,101778
299,MPC,1510295
300,MKTX,1278021
301,MAR,1048286
302,MMC,62709
303,MLM,916076
304,MAS,62996
305,MA,1141391
306,MKC,63754
307,MXIM,743316
308,MCD,63908
309,MCK,927653
310,MDT,1613103
311,MRK,310158
312,MET,1099219
313,MTD,1037646
314,MGM,789570
315,MCHP,827054
316,MU,723125
317,MSFT,789019
318,MAA,912595
319,MHK,851968
320,TAP,24545
321,MDLZ,1103982
322,MNST,865752
323,MCO,1059556
324,MS,895421
325,MOS,1285785
326,MSI,68505
327,MSCI,1408198
328,MYL,1623613
329,NDAQ,1120193
330,NOV,1021860
331,NTAP,1002047
332,NFLX,1065280
333,NWL,814453
334,NEM,1164727
335,NWSA,1564708
