,0
0,https://www.sec.gov/Archives/edgar/data/1249759
1,https://www.sec.gov/Archives/edgar/data/95366
2,https://www.sec.gov/Archives/edgar/data/1193458
3,https://www.sec.gov/Archives/edgar/data/1000142
4,https://www.sec.gov/Archives/edgar/data/726608
5,https://www.sec.gov/Archives/edgar/data/1161852
6,https://www.sec.gov/Archives/edgar/data/1125725
7,https://www.sec.gov/Archives/edgar/data/1220065
8,https://www.sec.gov/Archives/edgar/data/1210341
9,https://www.sec.gov/Archives/edgar/data/1180006
10,https://www.sec.gov/Archives/edgar/data/1257146
11,https://www.sec.gov/Archives/edgar/data/1167472
12,https://www.sec.gov/Archives/edgar/data/918228
13,https://www.sec.gov/Archives/edgar/data/1246330
14,https://www.sec.gov/Archives/edgar/data/1184347
15,https://www.sec.gov/Archives/edgar/data/1040599
16,https://www.sec.gov/Archives/edgar/data/919556
17,https://www.sec.gov/Archives/edgar/data/1191316
18,https://www.sec.gov/Archives/edgar/data/1189566
19,https://www.sec.gov/Archives/edgar/data/1300763
20,https://www.sec.gov/Archives/edgar/data/1297581
21,https://www.sec.gov/Archives/edgar/data/1037852
22,https://www.sec.gov/Archives/edgar/data/1214720
23,https://www.sec.gov/Archives/edgar/data/1195739
24,https://www.sec.gov/Archives/edgar/data/42293
25,https://www.sec.gov/Archives/edgar/data/1303761
26,https://www.sec.gov/Archives/edgar/data/1056238
27,https://www.sec.gov/Archives/edgar/data/921549
28,https://www.sec.gov/Archives/edgar/data/1088717
29,https://www.sec.gov/Archives/edgar/data/1265871
30,https://www.sec.gov/Archives/edgar/data/352430
31,https://www.sec.gov/Archives/edgar/data/1106646
32,https://www.sec.gov/Archives/edgar/data/1297274
33,https://www.sec.gov/Archives/edgar/data/1260623
34,https://www.sec.gov/Archives/edgar/data/1291772
35,https://www.sec.gov/Archives/edgar/data/1301318
36,https://www.sec.gov/Archives/edgar/data/1091967
37,https://www.sec.gov/Archives/edgar/data/940510
38,https://www.sec.gov/Archives/edgar/data/1293933
39,https://www.sec.gov/Archives/edgar/data/1211164
40,https://www.sec.gov/Archives/edgar/data/790071
41,https://www.sec.gov/Archives/edgar/data/1301775
42,https://www.sec.gov/Archives/edgar/data/1190963
43,https://www.sec.gov/Archives/edgar/data/1276036
44,https://www.sec.gov/Archives/edgar/data/1230250
45,https://www.sec.gov/Archives/edgar/data/1246376
46,https://www.sec.gov/Archives/edgar/data/1276673
47,https://www.sec.gov/Archives/edgar/data/924754
48,https://www.sec.gov/Archives/edgar/data/791138
49,https://www.sec.gov/Archives/edgar/data/1101396
50,https://www.sec.gov/Archives/edgar/data/1063344
51,https://www.sec.gov/Archives/edgar/data/1000753
52,https://www.sec.gov/Archives/edgar/data/1192654
53,https://www.sec.gov/Archives/edgar/data/1096400
54,https://www.sec.gov/Archives/edgar/data/1184060
55,https://www.sec.gov/Archives/edgar/data/319261
56,https://www.sec.gov/Archives/edgar/data/1303749
57,https://www.sec.gov/Archives/edgar/data/1049531
58,https://www.sec.gov/Archives/edgar/data/1059354
59,https://www.sec.gov/Archives/edgar/data/105839
60,https://www.sec.gov/Archives/edgar/data/1203080
61,https://www.sec.gov/Archives/edgar/data/1046206
62,https://www.sec.gov/Archives/edgar/data/762859
63,https://www.sec.gov/Archives/edgar/data/1182292
64,https://www.sec.gov/Archives/edgar/data/1227146
65,https://www.sec.gov/Archives/edgar/data/1301209
66,https://www.sec.gov/Archives/edgar/data/1185807
67,https://www.sec.gov/Archives/edgar/data/1192701
68,https://www.sec.gov/Archives/edgar/data/1236599
69,https://www.sec.gov/Archives/edgar/data/1263547
70,https://www.sec.gov/Archives/edgar/data/1220929
71,https://www.sec.gov/Archives/edgar/data/1008262
72,https://www.sec.gov/Archives/edgar/data/1201398
73,https://www.sec.gov/Archives/edgar/data/1237252
74,https://www.sec.gov/Archives/edgar/data/789282
75,https://www.sec.gov/Archives/edgar/data/100122
76,https://www.sec.gov/Archives/edgar/data/1239583
77,https://www.sec.gov/Archives/edgar/data/1219815
78,https://www.sec.gov/Archives/edgar/data/1285163
79,https://www.sec.gov/Archives/edgar/data/1207142
80,https://www.sec.gov/Archives/edgar/data/1303857
81,https://www.sec.gov/Archives/edgar/data/1201678
82,https://www.sec.gov/Archives/edgar/data/1001606
83,https://www.sec.gov/Archives/edgar/data/946535
84,https://www.sec.gov/Archives/edgar/data/1282864
85,https://www.sec.gov/Archives/edgar/data/1275018
86,https://www.sec.gov/Archives/edgar/data/1038727
87,https://www.sec.gov/Archives/edgar/data/785186
88,https://www.sec.gov/Archives/edgar/data/854701
89,https://www.sec.gov/Archives/edgar/data/1132218
90,https://www.sec.gov/Archives/edgar/data/1297313
91,https://www.sec.gov/Archives/edgar/data/1239550
92,https://www.sec.gov/Archives/edgar/data/1071992
93,https://www.sec.gov/Archives/edgar/data/1204921
94,https://www.sec.gov/Archives/edgar/data/1302607
95,https://www.sec.gov/Archives/edgar/data/1025378
96,https://www.sec.gov/Archives/edgar/data/1092340
97,https://www.sec.gov/Archives/edgar/data/1166853
98,https://www.sec.gov/Archives/edgar/data/1287066
99,https://www.sec.gov/Archives/edgar/data/1229388
100,https://www.sec.gov/Archives/edgar/data/1301220
101,https://www.sec.gov/Archives/edgar/data/1242472
102,https://www.sec.gov/Archives/edgar/data/1204394
103,https://www.sec.gov/Archives/edgar/data/710752
104,https://www.sec.gov/Archives/edgar/data/1196779
105,https://www.sec.gov/Archives/edgar/data/1112888
106,https://www.sec.gov/Archives/edgar/data/1182828
107,https://www.sec.gov/Archives/edgar/data/1217950
108,https://www.sec.gov/Archives/edgar/data/1087845
109,https://www.sec.gov/Archives/edgar/data/1205011
110,https://www.sec.gov/Archives/edgar/data/1195919
111,https://www.sec.gov/Archives/edgar/data/1294684
112,https://www.sec.gov/Archives/edgar/data/1161607
113,https://www.sec.gov/Archives/edgar/data/1292026
114,https://www.sec.gov/Archives/edgar/data/1234369
115,https://www.sec.gov/Archives/edgar/data/1223655
116,https://www.sec.gov/Archives/edgar/data/1128329
